Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/21/2024,08/22/2024,SQ *MOMO COOK,Food & Drink,Sale,-13.22,
08/21/2024,08/22/2024,CVS/PHARMACY #09600,Health & Wellness,Sale,-69.03,
08/21/2024,08/21/2024,AUTOMATIC PAYMENT - THANK,,Payment,3237.35,
08/19/2024,08/20/2024,CVS/PHARMACY #09600,Health & Wellness,Sale,-2.46,
08/19/2024,08/19/2024,TEMU.COM,Shopping,Sale,-57.23,
08/18/2024,08/19/2024,99 RANCH #1762,Groceries,Sale,-34.53,
08/17/2024,08/18/2024,COSTCO GAS #1660,Gas,Sale,-44.88,
08/17/2024,08/18/2024,COSTCO WHSE #1660,Shopping,Sale,-28.78,
08/13/2024,08/14/2024,SQ *BIRYANI JUNCTION,Home,Sale,-44.27,
08/10/2024,08/12/2024,COSTCO WHSE #1660,Shopping,Sale,-205.70,
08/10/2024,08/11/2024,INDIA CASH &amp; CARRY,Groceries,Sale,-101.40,
08/09/2024,08/11/2024,BOFA NA HOME LOANS,Personal,Sale,-1638.88,
08/07/2024,08/08/2024,HSBC MORTGAGE,Professional Services,Sale,-800.00,
08/04/2024,08/07/2024,PROPERTYREC.COM,Professional Services,Return,10.00,
08/05/2024,08/06/2024,CHIPOTLE 1031,Food & Drink,Return,28.96,
08/04/2024,08/05/2024,INTUIT *TURBOTAX,Shopping,Sale,-64.00,
08/04/2024,08/05/2024,INTUIT *TURBOTAX,Shopping,Sale,-129.00,
08/03/2024,08/04/2024,SCRIBD 626042520,Entertainment,Return,11.99,
08/01/2024,08/04/2024,LUCKY #712 FREMONT,Groceries,Sale,-3.64,
08/02/2024,08/04/2024,CVS/PHARMACY #09600,Health & Wellness,Sale,-21.89,
08/03/2024,08/04/2024,COSTCO WHSE #1660,Shopping,Sale,-107.58,
07/30/2024,07/31/2024,CVS/PHARMACY #09494,Health & Wellness,Sale,-15.08,
07/30/2024,07/30/2024,NETFLIX.COM,Bills & Utilities,Return,15.49,
07/30/2024,07/30/2024,NETFLIX.COM,Bills & Utilities,Sale,-15.49,
07/28/2024,07/29/2024,CHIPOTLE 1031,Food & Drink,Sale,-28.96,
07/26/2024,07/28/2024,KOHLI DENTAL CORP,Health & Wellness,Sale,-487.40,
07/27/2024,07/28/2024,TST* MYLAPORE - WESTGATE,Food & Drink,Sale,-32.72,
07/26/2024,07/28/2024,COCONUT HILL,Groceries,Sale,-12.46,
07/28/2024,07/28/2024,GOOGLE *Google One,Entertainment,Sale,-19.99,
07/24/2024,07/28/2024,THEPROPERTYRECORD.COM,Professional Services,Sale,-10.00,
07/25/2024,07/26/2024,BASKIN #361217,Food & Drink,Sale,-9.95,
07/24/2024,07/25/2024,FASTRAK CSC,Travel,Sale,-25.00,
07/23/2024,07/25/2024,60775 - SFO PARKING IT-G,Travel,Sale,-8.00,
07/22/2024,07/23/2024,SCRIBD 626042520,Entertainment,Sale,-11.99,
07/21/2024,07/21/2024,AUTOMATIC PAYMENT - THANK,,Payment,1841.99,
07/20/2024,07/21/2024,AAA CORP OFFICE,Automotive,Sale,-54.99,
07/20/2024,07/21/2024,7-ELEVEN 18916,Gas,Sale,-20.00,
07/18/2024,07/21/2024,LUCKY #712 FREMONT,Groceries,Sale,-38.11,
07/19/2024,07/21/2024,DOMINOS 7978,Food & Drink,Sale,-13.69,
07/18/2024,07/18/2024,ZILLOW *RENT LISTINGS,Professional Services,Sale,-29.99,
07/16/2024,07/17/2024,CHASE HOME LEND ME CD,Professional Services,Sale,-500.00,
07/15/2024,07/16/2024,COCONUT HILL,Groceries,Sale,-84.04,
07/14/2024,07/15/2024,MED*STANFORD HEALTH CARE,Health & Wellness,Sale,-485.62,
07/12/2024,07/14/2024,LAZY DOG RESTAURANT 29,Food & Drink,Sale,-56.23,
07/13/2024,07/14/2024,TST* CHAIWALA SHOP,Food & Drink,Sale,-6.62,
07/13/2024,07/14/2024,SQ *MOMO COOK,Food & Drink,Sale,-26.44,
07/12/2024,07/14/2024,GOOGLE *Disney Mobile,Shopping,Sale,-10.99,
07/11/2024,07/14/2024,SHELL OIL 57444675607,Gas,Sale,-20.69,
07/14/2024,07/14/2024,LinkedIn Pre 9745177976,Bills & Utilities,Sale,-39.99,
07/12/2024,07/12/2024,CODEMONKEY* TRIAL OVER,Entertainment,Sale,-30.00,
07/11/2024,07/11/2024,Amazon.com*RY7OO6BM0,Shopping,Sale,-16.75,
07/10/2024,07/11/2024,CVS/PHARMACY #09600,Health & Wellness,Sale,-8.49,
07/10/2024,07/11/2024,DD DOORDASH PARADISEB,Food & Drink,Sale,-21.82,
07/09/2024,07/10/2024,COSTCO GAS #1660,Gas,Sale,-46.52,
07/09/2024,07/09/2024,MINT MOBILE,Bills & Utilities,Sale,-102.84,
07/07/2024,07/09/2024,TST* MYLAPORE - FREMONT,Food & Drink,Sale,-4.41,
07/07/2024,07/08/2024,VENDING MACHINE,Groceries,Sale,-17.00,
07/06/2024,07/08/2024,STARBUCKS STORE 05417,Food & Drink,Sale,-7.25,
07/06/2024,07/07/2024,SQ *MOMO GRILL RESTAURANT,Food & Drink,Sale,-69.96,
07/04/2024,07/07/2024,TST* CHAIWALA SHOP,Food & Drink,Sale,-6.62,
07/05/2024,07/07/2024,APNI MANDI FARMERS MAR,Groceries,Sale,-149.65,
07/06/2024,07/07/2024,ACE HARDWARE CORPORATION,Home,Sale,-38.58,
07/05/2024,07/07/2024,SPROUTS FARMERS MAR,Groceries,Sale,-5.52,
07/04/2024,07/05/2024,CHEVRON 0206556,Gas,Sale,-49.30,
07/01/2024,07/02/2024,FD *CA DMV 644 *SVC,Bills & Utilities,Sale,-0.76,
07/01/2024,07/02/2024,FD *CA DMV 644,Bills & Utilities,Sale,-36.00,
06/30/2024,07/02/2024,AMC 0456 NEWPARK 12,Entertainment,Sale,-9.49,
07/01/2024,07/02/2024,CVS/PHARMACY #09494,Health & Wellness,Sale,-4.97,
06/30/2024,07/02/2024,AMC 0456 NEWPARK 12,Entertainment,Sale,-8.00,
07/01/2024,07/02/2024,COSTCO *ANNUAL RENEWAL,Shopping,Sale,-120.00,
06/30/2024,07/01/2024,ALAMEDA COUNTY FAIR,Bills & Utilities,Sale,-36.30,
06/29/2024,07/01/2024,ALAMEDA COUNTY FAIR,Entertainment,Sale,-15.00,
06/30/2024,07/01/2024,DD DOORDASH DOSAHUT,Food & Drink,Sale,-46.63,
06/29/2024,07/01/2024,SAFEWAY FUEL2856,Gas,Sale,-49.77,
06/29/2024,07/01/2024,BUTLER AMUSEMENTS INC,Entertainment,Sale,-20.00,
